iter	RMSE
0	5617274.767
1	5321545.701
2	5045946.285
3	4781179.774
4	4529436.898
5	4291354.156
6	4063065.459
7	3853650.171
8	3659915.17
9	3477105.901
10	3321771.484
11	3163998.388
12	3017531.414
13	2892385.868
14	2773388.582
15	2654777.971
16	2544086.878
17	2438114.199
18	2338835.805
19	2245110.656
20	2158804.911
21	2073472.78
22	1999295.457
23	1930002.192
24	1866399.332
25	1802710.927
26	1751836.054
27	1704611.948
28	1652134.11
29	1607945.942
30	1558805.4
31	1517788.448
32	1481599.203
33	1445860.276
34	1407910.182
35	1376453.473
36	1344893.095
37	1314236.699
38	1288200.243
39	1264962.392
40	1245352.092
41	1228179.335
42	1205813.563
43	1191765.655
44	1185978.798
45	1176302.008
46	1170858.183
47	1165434.927
48	1160309.97
49	1156491.721
50	1136789.558
51	1132018.34
52	1116616.587
53	1112104.223
54	1108843.907
55	1094146.622
56	1090922.334
57	1086769.794
58	1082819.065
59	1069201.215
60	1065883.308
61	1053643.511
62	1051044.807
63	1047630.06
64	1035557.902
65	1021639.904
66	1010349.894
67	1001043.6
68	991698.4051
69	981450.3859
70	973683.4732
71	970955.9629
72	968330.9642
73	965660.3571
74	963065.4184
75	955025.7515
76	952480.4722
77	950199.79
78	947899.2222
79	945679.9432
80	944135.1094
81	933404.2823
82	931345.3037
83	929320.3389
84	927949.7065
85	926317.0622
86	920997.6282
87	919193.5772
88	911951.0552
89	905755.3839
90	904216.9924
91	893178.3635
92	884308.1383
93	878399.823
94	876868.6837
95	875392.7829
96	873923.8978
97	867354.7623
98	866245.8677
99	864227.8878
100	863364.6229
101	859957.0895
102	851000.8853
103	849756.6905
104	845340.3664
105	841167.8135
106	835233.6304
107	834161.8592
108	830580.8067
109	822593.3982
110	821564.6142
111	820948.4378
112	820214.6225
113	815024.2867
114	814104.6997
115	813340.1319
116	812498.036
117	811985.6624
118	807645.1924
119	801295.9432
120	796895.3973
121	796264.5903
122	791971.6682
123	790391.4202
124	788293.8084
125	787607.3614
126	784394.317
127	784018.4032
128	781650.8545
129	777851.4962
130	773980.0865
131	771289.0467
132	770720.34
133	770166.3894
134	769693.7048
135	769174.3926
136	768894.9698
137	765037.8834
138	763785.8353
139	763315.3761
140	760619.3648
141	760162.1207
142	757917.0055
143	757496.0451
144	757047.4724
145	754242.2213
146	750295.5772
147	745403.2147
148	742291.4047
149	741921.1269
150	739344.6423
151	737859.5894
152	737514.7692
153	737181.6514
154	736859.8433
155	733123.0151
156	730220.049
157	727966.121
158	725715.6126
159	723673.5401
160	721106.7905
161	719652.7928
162	717276.9029
163	715291.616
164	713119.9241
165	711096.9795
166	710852.1919
167	710615.7407
168	710386.1704
169	708816.4773
170	706866.6524
171	705346.3614
172	705147.4451
173	703580.1397
174	703391.4875
175	701806.3751
176	701631.3213
177	699041.5434
178	698879.7276
179	697513.5984
180	695939.673
181	693650.0578
182	691268.8731
183	689079.4112
184	686895.1559
185	685161.5775
186	685032.8037
187	683762.4185
188	681580.7139
189	679956.0207
190	679837.8819
191	678349.4934
192	676591.7766
193	674851.2002
194	674741.1015
195	674635.0659
196	674529.0485
197	674430.4165
198	672224.7429
199	672129.5031
200	672037.775
201	669603.2076
202	668081.6583
203	667992.8637
204	667907.3514
205	665675.3614
206	663829.7402
207	661577.5699
208	659585.6756
209	658150.7095
210	658071.3789
211	657031.9135
212	656955.8094
213	656882.3127
214	655286.2767
215	653811.8041
216	652188.136
217	650197.9433
218	648842.454
219	648722.8453
220	646238.7751
221	645080.672
222	644138.0304
223	643977.2298
224	642160.2248
225	642009.1951
226	640592.004
227	640445.6285
228	638764.0803
229	637933.8769
230	636472.5475
231	635274.9064
232	633965.5791
233	633866.0006
234	631971.5187
235	631875.3409
236	630143.0384
237	628798.0201
238	627539.5876
239	626145.5099
240	625099.1825
