iter	Passed	Remaining
0	846	845268
1	852	425568
2	857	284937
3	861	214579
4	866	172334
5	870	144169
6	874	124064
7	879	108996
8	883	97257
9	887	87877
10	891	80187
11	896	73838
12	901	68412
13	905	63778
14	910	59759
15	914	56239
16	918	53104
17	922	50338
18	928	47932
19	932	45693
20	936	43678
21	941	41865
22	946	40188
23	950	38643
24	954	37224
25	958	35915
26	962	34698
27	966	33567
28	971	32518
29	975	31552
30	980	30634
31	984	29771
32	988	28959
33	992	28191
34	996	27466
35	1000	26786
36	1004	26146
37	1008	25537
38	1012	24959
39	1017	24413
40	1021	23893
41	1025	23395
42	1030	22924
43	1035	22501
44	1040	22084
45	1044	21668
46	1049	21280
47	1053	20901
48	1058	20538
49	1062	20184
50	1067	19866
51	1071	19541
52	1076	19229
53	1080	18927
54	1084	18632
55	1088	18351
56	1092	18082
57	1097	17824
58	1101	17570
59	1105	17324
60	1109	17086
61	1114	16856
62	1118	16631
63	1122	16414
64	1127	16214
65	1131	16012
66	1135	15813
67	1139	15620
68	1144	15435
69	1148	15256
70	1153	15088
71	1157	14917
72	1161	14749
73	1165	14587
74	1169	14428
75	1174	14274
76	1178	14124
77	1182	13977
78	1186	13835
79	1190	13695
80	1195	13559
81	1199	13426
82	1203	13295
83	1208	13174
84	1212	13050
85	1216	12927
86	1220	12809
87	1224	12695
88	1229	12587
89	1234	12477
90	1238	12373
91	1242	12266
92	1247	12163
93	1251	12060
94	1255	11960
95	1259	11862
96	1263	11765
97	1268	11671
98	1272	11578
99	1276	11487
100	1280	11397
101	1284	11310
102	1288	11224
103	1293	11140
104	1297	11057
105	1301	10978
106	1306	10905
107	1310	10825
108	1315	10749
109	1319	10673
110	1323	10597
111	1327	10524
112	1331	10452
113	1335	10381
114	1339	10310
115	1343	10241
116	1347	10173
117	1352	10105
118	1356	10039
119	1360	9973
120	1364	9910
121	1368	9847
122	1372	9785
123	1376	9725
124	1381	9668
125	1385	9609
126	1389	9550
127	1393	9495
128	1398	9439
129	1402	9383
130	1406	9328
131	1410	9274
132	1414	9220
133	1418	9166
134	1422	9115
135	1426	9065
136	1431	9017
137	1435	8969
138	1440	8920
139	1444	8870
140	1448	8822
141	1452	8774
142	1456	8728
143	1460	8681
144	1464	8635
145	1468	8590
146	1473	8550
147	1478	8509
148	1482	8466
149	1486	8424
150	1491	8386
151	1495	8344
152	1500	8309
153	1505	8268
154	1509	8228
155	1513	8188
156	1518	8152
157	1524	8126
158	1529	8090
159	1534	8053
160	1538	8016
161	1542	7979
162	1546	7942
163	1550	7905
164	1554	7869
165	1558	7832
166	1563	7796
167	1567	7761
168	1571	7725
169	1575	7691
170	1579	7658
171	1583	7624
172	1587	7590
173	1591	7556
174	1596	7525
175	1602	7504
176	1607	7474
177	1611	7442
178	1615	7410
179	1619	7379
180	1624	7348
181	1628	7317
182	1632	7286
183	1636	7256
184	1640	7228
185	1645	7199
186	1648	7169
187	1653	7140
188	1657	7113
189	1661	7085
190	1666	7057
191	1670	7028
192	1674	7001
193	1678	6974
194	1682	6947
195	1687	6920
196	1691	6894
197	1695	6867
198	1699	6841
199	1704	6817
200	1708	6791
201	1712	6765
202	1717	6744
203	1722	6722
204	1726	6697
205	1730	6671
206	1734	6646
207	1738	6621
208	1742	6596
209	1747	6573
210	1751	6549
211	1755	6525
212	1759	6502
213	1763	6478
214	1768	6455
215	1772	6432
216	1776	6409
217	1780	6386
218	1784	6364
219	1788	6341
220	1792	6319
221	1796	6297
222	1800	6275
223	1805	6253
224	1809	6231
225	1813	6210
226	1819	6197
227	1824	6176
228	1828	6155
229	1832	6133
230	1836	6112
231	1840	6092
232	1844	6072
233	1848	6051
234	1852	6031
235	1856	6010
236	1860	5990
237	1864	5970
238	1869	5951
239	1873	5932
240	1878	5916
241	1885	5904
242	1890	5888
243	1894	5869
244	1898	5850
245	1902	5831
246	1907	5814
247	1911	5796
248	1915	5777
249	1921	5763
250	1928	5753
251	1932	5735
252	1936	5717
253	1940	5699
254	1945	5682
255	1950	5668
256	1954	5651
257	1959	5634
258	1963	5616
259	1967	5599
260	1971	5582
261	1975	5565
262	1979	5548
263	1984	5531
264	1988	5514
265	1992	5497
266	1996	5480
267	2000	5463
268	2004	5446
269	2008	5429
270	2012	5413
271	2016	5396
272	2020	5380
273	2024	5363
274	2028	5348
275	2032	5332
276	2036	5316
277	2041	5300
278	2045	5285
279	2049	5269
280	2053	5253
281	2057	5237
282	2061	5222
283	2065	5206
284	2069	5191
285	2073	5175
286	2078	5162
287	2082	5147
288	2086	5131
289	2090	5116
290	2094	5102
291	2098	5087
292	2102	5073
293	2107	5061
294	2112	5049
295	2116	5034
296	2120	5020
297	2124	5005
298	2128	4991
299	2132	4976
300	2136	4962
301	2140	4948
302	2145	4934
303	2149	4920
304	2153	4906
305	2157	4892
306	2161	4879
307	2165	4865
308	2170	4852
309	2174	4839
310	2178	4825
311	2182	4812
312	2186	4798
313	2190	4785
314	2194	4772
315	2198	4759
