iter	Passed	Remaining
0	45	45728
1	84	41929
2	118	39443
3	159	39818
4	198	39558
5	242	40171
6	278	39499
7	322	40018
8	362	39969
9	409	40585
10	443	39837
11	483	39782
12	520	39549
13	561	39529
14	596	39197
15	637	39182
16	677	39181
17	716	39078
18	755	39028
19	796	39048
20	842	39294
21	888	39484
22	933	39666
23	980	39883
24	1027	40068
25	1065	39925
26	1110	40006
27	1151	39970
28	1190	39857
29	1225	39614
30	1269	39668
31	1309	39624
32	1348	39529
33	1385	39374
34	1423	39261
35	1465	39230
36	1502	39094
37	1540	38996
38	1574	38808
39	1613	38732
40	1652	38660
41	1689	38538
42	1728	38468
43	1764	38327
44	1798	38158
45	1837	38105
46	1886	38247
47	1926	38200
48	1965	38152
49	2005	38097
50	2043	38021
51	2081	37955
52	2121	37911
53	2155	37755
54	2190	37640
55	2229	37583
56	2273	37609
57	2313	37572
58	2354	37556
59	2395	37528
60	2435	37487
61	2478	37494
62	2523	37536
63	2562	37479
64	2602	37441
65	2640	37371
66	2680	37321
67	2716	37233
68	2757	37202
69	2797	37162
70	2833	37074
71	2873	37042
72	2916	37036
73	2956	37000
74	2998	36985
75	3032	36865
76	3071	36821
77	3113	36802
78	3156	36794
79	3195	36747
80	3235	36713
81	3273	36649
82	3307	36542
83	3346	36490
84	3384	36433
85	3424	36392
86	3468	36401
87	3511	36392
88	3557	36409
89	3596	36361
90	3640	36366
91	3684	36363
92	3728	36363
93	3767	36313
94	3812	36323
95	3848	36240
96	3888	36198
97	3926	36143
98	3969	36122
99	4007	36071
100	4049	36044
101	4088	35994
102	4123	35913
103	4163	35868
104	4205	35843
105	4243	35787
106	4282	35739
107	4322	35697
108	4361	35650
109	4404	35637
110	4443	35590
111	4481	35528
112	4514	35439
113	4559	35433
114	4600	35400
115	4641	35368
116	4679	35314
117	4721	35293
118	4760	35246
119	4802	35214
120	4839	35155
121	4875	35089
122	4916	35051
123	4955	35008
124	4995	34967
125	5034	34920
126	5071	34859
127	5112	34826
128	5153	34793
129	5193	34759
130	5231	34704
131	5271	34663
132	5309	34610
133	5349	34572
134	5389	34530
135	5429	34493
136	5466	34437
137	5505	34389
138	5549	34372
139	5591	34345
140	5629	34297
141	5669	34254
142	5707	34202
143	5740	34122
144	5779	34076
145	5818	34035
146	5857	33987
147	5897	33951
148	5937	33912
149	5978	33879
150	6026	33886
151	6073	33885
152	6127	33924
153	6168	33884
154	6206	33834
155	6245	33792
156	6283	33738
157	6323	33697
158	6364	33661
159	6403	33620
160	6442	33573
161	6478	33513
162	6517	33465
163	6554	33409
164	6594	33371
165	6635	33335
166	6677	33307
167	6719	33279
168	6762	33252
169	6805	33226
170	6844	33183
171	6887	33155
172	6929	33124
173	6970	33091
174	7012	33060
175	7062	33065
176	7098	33007
177	7141	32977
178	7181	32936
179	7222	32901
180	7263	32866
181	7303	32823
182	7352	32824
183	7393	32789
184	7440	32776
185	7477	32722
186	7522	32702
187	7574	32715
188	7616	32680
189	7652	32623
190	7690	32573
191	7728	32524
192	7769	32485
193	7806	32435
194	7846	32392
195	7888	32359
196	7933	32336
197	7973	32295
198	8011	32247
199	8049	32197
200	8085	32142
201	8124	32094
202	8162	32048
203	8203	32010
204	8253	32009
205	8294	31968
206	8335	31934
207	8374	31888
208	8416	31854
209	8456	31811
210	8496	31772
211	8535	31724
212	8574	31681
213	8622	31668
214	8663	31631
215	8701	31584
216	8739	31533
217	8775	31480
218	8814	31434
219	8848	31372
220	8885	31319
221	8926	31283
222	8970	31255
223	9008	31208
224	9045	31156
225	9082	31106
226	9123	31067
227	9162	31024
228	9201	30980
229	9240	30936
230	9278	30887
231	9317	30843
232	9356	30799
233	9401	30774
234	9440	30732
235	9481	30693
236	9518	30644
237	9556	30597
238	9596	30557
239	9639	30526
240	9677	30479
241	9717	30436
242	9756	30394
243	9797	30356
244	9838	30318
245	9880	30285
246	9930	30273
247	9971	30235
248	10009	30188
249	10046	30139
250	10084	30093
251	10123	30049
252	10162	30006
253	10206	29975
254	10246	29936
255	10284	29890
256	10327	29857
257	10369	29823
258	10411	29786
259	10451	29747
260	10496	29719
261	10538	29683
262	10578	29643
263	10621	29612
264	10663	29576
265	10702	29531
266	10746	29503
267	10784	29456
268	10822	29410
269	10860	29363
270	10896	29311
271	10935	29267
272	10972	29220
273	11011	29176
274	11050	29131
275	11089	29088
276	11142	29082
277	11180	29037
278	11217	28989
279	11257	28946
280	11296	28905
281	11334	28858
282	11373	28815
283	11407	28759
284	11446	28716
285	11484	28671
286	11526	28635
287	11566	28595
288	11603	28545
289	11641	28501
290	11679	28456
291	11715	28405
292	11753	28360
293	11789	28311
294	11828	28268
295	11863	28215
296	11902	28174
297	11946	28142
298	11986	28101
299	12028	28065
300	12070	28030
301	12105	27978
302	12144	27935
303	12185	27897
304	12218	27842
305	12258	27802
306	12295	27755
307	12336	27715
308	12379	27682
309	12419	27643
310	12460	27605
311	12500	27565
312	12539	27523
313	12578	27480
314	12615	27433
315	12652	27386
316	12692	27346
317	12733	27308
318	12771	27264
319	12805	27211
320	12845	27170
321	12894	27150
322	12934	27109
323	12977	27076
324	13023	27048
325	13065	27012
326	13103	26967
327	13142	26926
328	13187	26895
329	13226	26853
330	13262	26804
331	13304	26768
332	13344	26729
333	13385	26691
334	13425	26650
335	13467	26615
336	13510	26580
337	13553	26545
338	13601	26520
339	13640	26479
340	13694	26465
341	13735	26427
342	13775	26385
343	13818	26351
344	13860	26314
345	13904	26282
346	13944	26240
347	13977	26188
348	14015	26144
349	14053	26099
350	14093	26059
351	14133	26017
352	14173	25978
353	14212	25935
354	14246	25884
355	14281	25834
356	14322	25796
357	14364	25759
358	14405	25721
359	14443	25676
360	14500	25666
361	14537	25622
362	14578	25581
363	14616	25538
364	14654	25495
365	14692	25450
366	14729	25405
367	14779	25381
368	14821	25345
369	14858	25299
370	14898	25259
371	14941	25223
372	14981	25184
373	15020	25141
374	15056	25094
375	15094	25050
376	15127	24998
377	15163	24952
378	15214	24929
379	15254	24888
380	15294	24848
381	15333	24806
382	15371	24762
383	15411	24721
384	15447	24675
385	15484	24631
386	15526	24593
387	15564	24550
388	15603	24508
389	15643	24468
390	15682	24425
391	15721	24384
392	15762	24345
393	15798	24298
394	15838	24258
395	15882	24225
396	15920	24181
397	15961	24142
398	16003	24105
399	16042	24063
400	16084	24026
401	16123	23984
402	16162	23942
403	16201	23901
404	16256	23882
405	16298	23845
406	16338	23805
407	16379	23766
408	16419	23726
409	16462	23689
410	16501	23648
411	16537	23601
412	16586	23573
413	16626	23534
414	16666	23494
415	16710	23458
416	16752	23421
417	16793	23382
418	16834	23342
419	16884	23316
420	16926	23279
421	16973	23247
422	17013	23206
423	17050	23163
424	17092	23124
425	17133	23085
426	17175	23047
427	17216	23008
428	17259	22972
429	17302	22935
430	17341	22894
431	17379	22850
432	17418	22808
433	17458	22768
434	17499	22728
435	17539	22688
436	17578	22647
437	17613	22599
438	17651	22556
439	17694	22520
440	17736	22482
441	17776	22441
442	17817	22402
443	17854	22358
444	17891	22313
445	17933	22276
446	17976	22238
447	18014	22195
448	18055	22157
449	18093	22114
450	18131	22071
451	18171	22030
452	18207	21985
453	18247	21945
454	18287	21904
455	18325	21862
456	18363	21818
457	18403	21779
458	18446	21742
459	18490	21705
460	18530	21666
461	18573	21628
462	18610	21585
463	18649	21543
464	18691	21505
465	18730	21464
466	18769	21421
467	18807	21379
468	18844	21336
469	18880	21290
470	18920	21250
471	18961	21210
472	18996	21164
473	19032	21120
474	19071	21078
475	19113	21040
476	19153	21001
477	19196	20963
478	19237	20924
479	19280	20887
480	19319	20845
481	19370	20817
482	19412	20778
483	19449	20735
484	19488	20694
485	19526	20651
486	19566	20611
487	19606	20571
488	19644	20528
489	19688	20491
490	19727	20451
491	19766	20409
492	19806	20369
493	19847	20329
494	19889	20291
495	19935	20256
496	19975	20216
497	20014	20174
498	20053	20133
499	20094	20094
500	20135	20054
501	20175	20014
502	20214	19973
503	20253	19931
504	20291	19889
505	20330	19848
506	20372	19809
507	20410	19767
508	20446	19723
509	20479	19676
510	20515	19631
511	20554	19590
512	20588	19544
513	20626	19503
514	20674	19469
515	20714	19430
516	20751	19386
517	20792	19347
518	20826	19301
519	20865	19260
520	20900	19215
521	20939	19174
522	20976	19131
523	21007	19083
524	21041	19037
525	21081	18997
526	21121	18957
527	21161	18916
528	21196	18872
529	21231	18828
530	21272	18788
531	21310	18746
532	21348	18705
533	21388	18665
534	21427	18623
535	21468	18584
536	21510	18546
537	21543	18500
538	21580	18457
539	21619	18416
540	21663	18380
541	21706	18341
542	21747	18302
543	21786	18262
544	21829	18224
