iter	Passed	Remaining
0	338	338211
1	355	177520
2	377	125291
3	398	99317
4	418	83239
5	439	72868
6	455	64637
7	473	58712
8	493	54372
9	516	51090
10	541	48669
11	563	46427
12	582	44188
13	605	42645
14	629	41305
15	655	40320
16	672	38874
17	696	38018
18	722	37286
19	739	36246
20	767	35759
21	786	34963
22	802	34073
23	827	33665
24	851	33223
25	873	32726
26	889	32058
27	907	31485
28	928	31089
29	949	30689
30	970	30342
31	992	30012
32	1009	29581
33	1025	29136
34	1044	28798
35	1065	28526
36	1081	28157
37	1100	27869
38	1117	27526
39	1133	27212
40	1161	27176
41	1180	26929
42	1197	26648
43	1214	26381
44	1236	26238
45	1252	25965
46	1271	25788
47	1297	25730
48	1319	25615
49	1344	25543
50	1362	25349
51	1388	25305
52	1409	25183
53	1430	25065
54	1451	24937
55	1473	24841
56	1492	24694
57	1508	24493
58	1523	24301
59	1543	24182
60	1565	24099
61	1582	23934
62	1605	23884
63	1622	23723
64	1638	23564
65	1654	23412
66	1675	23337
67	1691	23184
68	1707	23037
69	1722	22886
70	1735	22712
71	1742	22454
72	1748	22198
73	1754	21949
74	1762	21733
75	1771	21532
76	1778	21318
77	1784	21091
78	1791	20886
79	1801	20718
80	1807	20512
81	1813	20307
82	1819	20101
83	1825	19906
84	1832	19721
85	1837	19529
86	1843	19341
87	1849	19164
88	1855	18988
89	1861	18818
90	1867	18654
91	1873	18491
92	1879	18332
93	1887	18189
94	1893	18035
95	1899	17884
96	1905	17735
97	1913	17612
98	1919	17467
99	1928	17352
100	1933	17210
101	1938	17069
102	1944	16934
103	1951	16808
104	1956	16680
105	1962	16553
106	1969	16433
107	1977	16332
108	1983	16210
109	1988	16090
110	1994	15972
111	2000	15859
112	2005	15744
113	2011	15635
114	2017	15529
115	2023	15421
116	2028	15312
117	2034	15203
118	2039	15101
119	2045	14999
120	2051	14904
121	2057	14808
122	2063	14711
123	2068	14615
124	2075	14529
125	2081	14439
126	2089	14362
127	2095	14274
128	2100	14183
129	2106	14097
130	2114	14028
131	2120	13940
132	2126	13862
133	2132	13782
134	2138	13702
135	2145	13627
136	2150	13547
137	2156	13468
138	2162	13394
139	2168	13320
140	2173	13242
141	2179	13168
142	2185	13096
143	2190	13023
144	2196	12952
145	2202	12881
146	2207	12811
147	2213	12740
148	2218	12670
149	2223	12601
150	2232	12550
151	2237	12483
152	2242	12416
153	2247	12349
154	2253	12284
155	2259	12222
156	2264	12158
157	2269	12095
158	2275	12037
159	2281	11975
160	2286	11915
161	2292	11857
162	2297	11796
163	2302	11738
164	2308	11681
165	2314	11627
166	2319	11570
167	2324	11513
168	2330	11459
169	2335	11403
170	2341	11349
171	2346	11294
172	2351	11241
173	2356	11188
174	2362	11136
175	2368	11087
176	2373	11035
177	2378	10983
178	2383	10934
179	2389	10883
180	2394	10834
181	2399	10786
182	2405	10739
183	2411	10693
184	2417	10649
185	2422	10602
186	2427	10555
187	2433	10508
188	2439	10466
189	2444	10421
190	2449	10376
191	2455	10331
192	2460	10288
193	2466	10247
194	2472	10205
195	2477	10162
196	2482	10120
197	2489	10083
198	2495	10043
199	2500	10001
200	2506	9961
201	2511	9920
202	2516	9880
203	2522	9840
204	2527	9801
205	2532	9760
206	2538	9723
207	2546	9695
208	2551	9658
209	2557	9622
210	2562	9583
211	2567	9544
212	2573	9507
213	2578	9470
214	2583	9432
215	2588	9396
216	2594	9361
217	2599	9325
218	2604	9289
219	2610	9254
220	2615	9220
221	2621	9185
222	2626	9151
223	2632	9119
224	2638	9088
225	2646	9064
226	2651	9030
227	2657	8997
228	2662	8965
229	2668	8932
230	2674	8901
231	2679	8870
232	2684	8837
233	2689	8805
234	2694	8772
235	2700	8743
236	2707	8715
237	2713	8687
238	2722	8669
239	2728	8641
240	2733	8609
241	2739	8579
242	2744	8548
243	2749	8518
244	2754	8488
245	2760	8459
246	2765	8430
247	2770	8401
248	2775	8371
249	2781	8343
250	2786	8314
251	2791	8285
252	2796	8256
253	2801	8228
254	2806	8200
255	2812	8173
256	2818	8147
257	2823	8119
258	2828	8092
259	2833	8064
260	2839	8038
261	2844	8011
262	2849	7984
263	2854	7957
264	2859	7932
265	2865	7906
266	2870	7880
267	2875	7854
268	2880	7828
269	2886	7803
270	2891	7779
271	2898	7757
272	2904	7735
273	2909	7709
274	2914	7684
275	2920	7660
276	2925	7635
277	2930	7611
278	2935	7586
279	2940	7562
280	2945	7537
281	2950	7513
282	2956	7489
283	2961	7466
284	2966	7442
285	2972	7420
286	2977	7398
287	2986	7383
288	2992	7361
289	2997	7338
290	3003	7316
291	3008	7294
292	3014	7274
293	3020	7252
294	3026	7232
295	3031	7210
296	3037	7189
297	3042	7167
298	3048	7146
299	3053	7124
300	3059	7103
301	3064	7082
302	3070	7062
303	3076	7043
304	3081	7021
305	3086	7000
306	3092	6979
307	3097	6960
308	3103	6939
309	3108	6919
310	3114	6899
311	3119	6879
312	3125	6859
313	3130	6839
314	3136	6819
315	3141	6799
316	3147	6780
317	3155	6768
318	3162	6751
319	3168	6732
320	3173	6712
321	3178	6692
322	3184	6673
323	3189	6654
324	3194	6635
325	3199	6615
326	3204	6596
327	3210	6576
328	3215	6557
329	3220	6539
330	3225	6520
331	3231	6501
332	3239	6488
333	3244	6469
334	3250	6451
